Institute Name,Program Name,State/All India Seats,Seat Pool,OPEN,OPEN-PwD,GEN-EWS,GEN-EWS-PwD,SC,SC-PwD,ST,ST-PwD,OBC-NCL,OBC-NCL-PwD,Total
Indian Institute  of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,1,5,0,9,1,3,0,14,1,56
Indian Institute  of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,0,1,0,1,0,1,0,4,0,12
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,1,4,0,8,0,4,0,14,1,54
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,1,1,0,2,0,1,0,4,0,14
Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,1,6,0,8,1,3,0,14,0,55
Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,1,1,0,1,0,1,0,4,0,13
Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,18,1,3,0,7,0,3,0,11,1,44
Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,1,1,0,2,0,1,0,2,0,10
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,21,0,5,1,9,0,3,0,14,1,54
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),6,0,1,0,1,1,1,0,4,0,14
Indian Institute  of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,8,1,1,0,3,0,1,0,6,1,21
Indian Institute  of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,1,0,1,0,6
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,4,1,1,0,1,0,1,0,3,0,11
Indian Institute  of Technology Bhubaneswar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),1,0,0,0,0,0,1,0,1,0,3
Indian Institute  of Technology Bhubaneswar,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,4,0,2,0,1,1,1,0,2,0,11
Indian Institute  of Technology Bhubaneswar,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),1,0,0,0,0,0,1,0,0,0,2
Indian Institute  of Technology Bhubaneswar,"Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,4,0,1,0,1,0,1,0,3,1,11
Indian Institute  of Technology Bhubaneswar,"Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),1,0,1,0,0,0,0,0,1,0,3
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,3,0,1,0,2,0,0,1,3,0,10
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),1,0,1,0,0,0,1,0,1,0,4
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,4,0,1,0,2,0,1,1,3,0,12
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),1,0,0,0,0,0,0,0,1,0,2
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,4,1,1,0,1,0,1,0,3,0,11
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),1,0,0,0,1,0,0,0,1,0,3
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,4,0,1,0,1,0,1,0,4,0,11
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),1,0,1,0,1,0,0,0,0,0,3
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,4,0,2,1,1,0,1,0,2,0,11
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),1,0,0,0,1,0,0,0,0,0,2
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,4,0,2,0,1,0,1,0,2,0,10
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),1,0,1,0,1,0,0,0,0,0,3
